x,y,z,date,scanner1,scanner2,scanner3,scanner4
3,10,1,2021-08-01 23:25:37.620000,-255,-58,-255,-255
3,11,1,2021-08-01 23:26:37.620000,-255,-255,-255,-90
3,11,1,2021-08-01 23:26:37.620000,-255,-255,-255,-90
3,11,1,2021-08-01 23:26:37.620000,-255,-255,-255,-90
3,11,1,2021-08-01 23:26:37.620000,-255,-255,-255,-90
3,11,1,2021-08-01 23:26:37.620000,-255,-255,-255,-89
3,11,1,2021-08-01 23:26:37.620000,-255,-255,-255,-87
4,11,1,2021-08-01 23:27:37.620000,-255,-35,-255,-255
4,11,1,2021-08-01 23:27:37.620000,-255,-41,-255,-255
4,11,1,2021-08-01 23:27:37.620000,-255,-74,-255,-255
4,11,1,2021-08-01 23:27:37.620000,-255,-44,-255,-255
4,11,1,2021-08-01 23:27:37.620000,-255,-49,-255,-255
4,10,1,2021-08-01 23:28:37.620000,-75,-62,-89,-255
4,10,1,2021-08-01 23:28:37.620000,-77,-61,-89,-255
4,10,1,2021-08-01 23:28:37.620000,-77,-58,-91,-255
4,10,1,2021-08-01 23:28:37.620000,-78,-72,-90,-255
4,10,1,2021-08-01 23:28:37.620000,-76,-61,-92,-255
4,10,1,2021-08-01 23:28:37.620000,-79,-72,-90,-255
4,10,1,2021-08-01 23:28:37.620000,-255,-61,-92,-255
4,10,1,2021-08-01 23:28:37.620000,-71,-41,-88,-92
4,10,1,2021-08-01 23:28:37.620000,-82,-43,-87,-92
4,10,1,2021-08-01 23:28:37.620000,-66,-68,-88,-255
4,10,1,2021-08-01 23:28:37.620000,-70,-48,-89,-255
4,10,1,2021-08-01 23:28:37.620000,-255,-47,-87,-255
4,11,1,2021-08-01 23:29:37.620000,-69,-43,-87,-91
4,11,1,2021-08-01 23:29:37.620000,-78,-67,-88,-255
4,11,1,2021-08-01 23:29:37.620000,-68,-40,-255,-255
4,11,1,2021-08-01 23:29:37.620000,-72,-49,-255,-255
4,11,1,2021-08-01 23:29:37.620000,-255,-44,-255,-255
4,11,1,2021-08-01 23:29:37.620000,-75,-58,-91,-255
4,11,1,2021-08-01 23:29:37.620000,-76,-69,-94,-255
4,11,1,2021-08-01 23:29:37.620000,-79,-58,-91,-255
4,11,1,2021-08-01 23:29:37.620000,-76,-62,-255,-255
4,11,1,2021-08-01 23:29:37.620000,-77,-58,-255,-255
4,11,1,2021-08-01 23:29:37.620000,-76,-71,-255,-255
4,11,1,2021-08-01 23:29:37.620000,-255,-58,-255,-255
4,10,1,2021-08-01 23:30:37.620000,-74,-73,-91,-255
4,10,1,2021-08-01 23:30:37.620000,-82,-58,-92,-255
4,10,1,2021-08-01 23:30:37.620000,-75,-70,-90,-255
4,10,1,2021-08-01 23:30:37.620000,-76,-62,-255,-255
4,10,1,2021-08-01 23:30:37.620000,-255,-58,-255,-255
4,10,1,2021-08-01 23:30:37.620000,-255,-72,-255,-255
4,10,1,2021-08-01 23:30:37.620000,-255,-62,-255,-255
4,10,1,2021-08-01 23:30:37.620000,-89,-43,-87,-94
4,10,1,2021-08-01 23:30:37.620000,-71,-43,-89,-97
4,10,1,2021-08-01 23:30:37.620000,-67,-49,-87,-255
4,10,1,2021-08-01 23:30:37.620000,-79,-48,-88,-255
4,10,1,2021-08-01 23:30:37.620000,-72,-255,-88,-255
4,10,1,2021-08-01 23:31:37.620000,-74,-61,-94,-255
4,10,1,2021-08-01 23:31:37.620000,-73,-59,-94,-255
4,10,1,2021-08-01 23:31:37.620000,-78,-71,-93,-255
4,10,1,2021-08-01 23:31:37.620000,-76,-72,-99,-255
4,10,1,2021-08-01 23:31:37.620000,-255,-62,-91,-255
4,10,1,2021-08-01 23:31:37.620000,-93,-72,-88,-93
4,10,1,2021-08-01 23:31:37.620000,-70,-48,-88,-92
4,10,1,2021-08-01 23:31:37.620000,-68,-42,-87,-90
4,10,1,2021-08-01 23:31:37.620000,-70,-47,-255,-255
4,10,1,2021-08-01 23:31:37.620000,-71,-255,-255,-255
4,10,1,2021-08-01 23:32:37.620000,-75,-255,-90,-255
4,10,1,2021-08-01 23:32:37.620000,-76,-255,-93,-255
4,10,1,2021-08-01 23:32:37.620000,-79,-255,-93,-255
4,10,1,2021-08-01 23:32:37.620000,-76,-255,-255,-255
4,10,1,2021-08-01 23:32:37.620000,-76,-255,-255,-255
4,10,1,2021-08-01 23:32:37.620000,-80,-255,-85,-95
4,10,1,2021-08-01 23:32:37.620000,-70,-255,-87,-92
4,10,1,2021-08-01 23:32:37.620000,-66,-255,-87,-92
4,10,1,2021-08-01 23:32:37.620000,-66,-255,-88,-255
4,10,1,2021-08-01 23:32:37.620000,-80,-255,-255,-255
4,10,1,2021-08-01 23:32:37.620000,-74,-255,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-93,-91,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-255,-96,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-255,-91,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-255,-90,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-91,-95,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-255,-93,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-255,-91,-255,-255
0,3,1,2021-08-01 23:36:37.620000,-255,-85,-255,-255
0,2,1,2021-08-01 23:37:37.620000,-89,-93,-77,-255
0,2,1,2021-08-01 23:37:37.620000,-95,-91,-80,-255
0,2,1,2021-08-01 23:37:37.620000,-92,-255,-89,-255
0,2,1,2021-08-01 23:37:37.620000,-255,-255,-79,-255
0,2,1,2021-08-01 23:37:37.620000,-255,-255,-79,-255
0,2,1,2021-08-01 23:37:37.620000,-255,-255,-72,-255
0,2,1,2021-08-01 23:37:37.620000,-94,-94,-84,-255
0,2,1,2021-08-01 23:37:37.620000,-90,-93,-74,-255
0,2,1,2021-08-01 23:37:37.620000,-88,-94,-71,-255
0,2,1,2021-08-01 23:37:37.620000,-89,-255,-255,-255
0,2,1,2021-08-01 23:38:37.620000,-88,-255,-80,-52
0,2,1,2021-08-01 23:38:37.620000,-92,-255,-81,-59
0,2,1,2021-08-01 23:38:37.620000,-92,-255,-71,-60
0,2,1,2021-08-01 23:38:37.620000,-91,-255,-77,-58
0,2,1,2021-08-01 23:38:37.620000,-255,-255,-70,-60
0,2,1,2021-08-01 23:38:37.620000,-255,-255,-255,-59
0,2,1,2021-08-01 23:38:37.620000,-96,-255,-75,-67
0,2,1,2021-08-01 23:38:37.620000,-91,-255,-75,-69
0,2,1,2021-08-01 23:38:37.620000,-94,-255,-71,-69
0,2,1,2021-08-01 23:38:37.620000,-90,-255,-75,-69
0,2,1,2021-08-01 23:38:37.620000,-94,-255,-76,-69
0,2,1,2021-08-01 23:38:37.620000,-255,-255,-76,-75
0,2,1,2021-08-01 23:39:37.620000,-94,-88,-71,-46
0,2,1,2021-08-01 23:39:37.620000,-94,-93,-76,-47
0,2,1,2021-08-01 23:39:37.620000,-91,-86,-72,-51
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-73,-255
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-71,-255
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-77,-255
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-71,-255
0,2,1,2021-08-01 23:39:37.620000,-96,-97,-75,-67
0,2,1,2021-08-01 23:39:37.620000,-89,-101,-75,-69
0,2,1,2021-08-01 23:39:37.620000,-255,-94,-73,-69
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-75,-74
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-75,-255
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-75,-255
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-76,-255
0,2,1,2021-08-01 23:39:37.620000,-255,-255,-75,-255
0,3,1,2021-08-01 23:40:37.620000,-89,-96,-71,-69
0,3,1,2021-08-01 23:40:37.620000,-93,-95,-75,-75
0,3,1,2021-08-01 23:40:37.620000,-90,-93,-71,-75
0,3,1,2021-08-01 23:40:37.620000,-255,-255,-75,-75
0,3,1,2021-08-01 23:40:37.620000,-255,-255,-76,-66
0,3,1,2021-08-01 23:40:37.620000,-255,-255,-75,-255
0,3,1,2021-08-01 23:40:37.620000,-91,-93,-80,-46
0,3,1,2021-08-01 23:40:37.620000,-94,-86,-77,-51
0,3,1,2021-08-01 23:40:37.620000,-92,-85,-71,-59
0,3,1,2021-08-01 23:40:37.620000,-255,-255,-76,-51
0,3,1,2021-08-01 23:40:37.620000,-255,-255,-72,-50
0,3,1,2021-08-01 23:40:37.620000,-255,-255,-81,-51
0,2,1,2021-08-01 23:41:37.620000,-255,-88,-75,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-94,-81,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-93,-69,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-85,-81,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-255,-70,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-255,-77,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-94,-71,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-92,-75,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-95,-71,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-255,-75,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-255,-71,-255
0,2,1,2021-08-01 23:41:37.620000,-255,-255,-74,-255
0,4,1,2021-08-01 23:42:37.620000,-84,-255,-255,-255
0,4,1,2021-08-01 23:42:37.620000,-93,-255,-255,-255
0,4,1,2021-08-01 23:42:37.620000,-85,-255,-255,-255
0,4,1,2021-08-01 23:42:37.620000,-80,-255,-255,-255
0,4,1,2021-08-01 23:42:37.620000,-83,-255,-255,-255
0,4,1,2021-08-01 23:42:37.620000,-80,-255,-255,-255
0,5,1,2021-08-01 23:43:37.620000,-255,-90,-80,-79
0,5,1,2021-08-01 23:43:37.620000,-255,-88,-89,-79
0,5,1,2021-08-01 23:43:37.620000,-255,-90,-91,-81
0,5,1,2021-08-01 23:43:37.620000,-255,-85,-85,-74
0,5,1,2021-08-01 23:43:37.620000,-255,-92,-83,-75
0,5,1,2021-08-01 23:43:37.620000,-255,-92,-80,-74
0,5,1,2021-08-01 23:43:37.620000,-255,-255,-255,-75
0,5,1,2021-08-01 23:43:37.620000,-255,-255,-255,-94
0,5,1,2021-08-01 23:43:37.620000,-255,-255,-255,-72
0,5,1,2021-08-01 23:43:37.620000,-255,-255,-255,-73
0,4,1,2021-08-01 23:44:37.620000,-92,-89,-80,-76
0,4,1,2021-08-01 23:44:37.620000,-84,-88,-81,-76
0,4,1,2021-08-01 23:44:37.620000,-83,-255,-83,-73
0,4,1,2021-08-01 23:44:37.620000,-91,-255,-255,-74
0,4,1,2021-08-01 23:44:37.620000,-83,-88,-80,-79
0,4,1,2021-08-01 23:44:37.620000,-83,-89,-80,-79
0,4,1,2021-08-01 23:44:37.620000,-255,-90,-80,-78
0,4,1,2021-08-01 23:44:37.620000,-255,-88,-255,-77
0,4,1,2021-08-01 23:44:37.620000,-255,-255,-255,-85
0,5,1,2021-08-01 23:45:37.620000,-84,-255,-255,-79
0,5,1,2021-08-01 23:45:37.620000,-78,-255,-255,-78
0,5,1,2021-08-01 23:45:37.620000,-82,-255,-255,-80
0,5,1,2021-08-01 23:45:37.620000,-83,-255,-255,-79
0,5,1,2021-08-01 23:45:37.620000,-83,-255,-255,-80
0,5,1,2021-08-01 23:45:37.620000,-255,-255,-255,-80
0,5,1,2021-08-01 23:45:37.620000,-255,-255,-255,-80
0,5,1,2021-08-01 23:45:37.620000,-255,-255,-255,-81
0,5,1,2021-08-01 23:45:37.620000,-87,-255,-84,-74
0,5,1,2021-08-01 23:45:37.620000,-85,-255,-84,-73
0,5,1,2021-08-01 23:45:37.620000,-85,-255,-79,-72
0,5,1,2021-08-01 23:45:37.620000,-87,-255,-82,-73
0,5,1,2021-08-01 23:45:37.620000,-93,-255,-255,-73
0,5,1,2021-08-01 23:46:37.620000,-82,-89,-90,-79
0,5,1,2021-08-01 23:46:37.620000,-79,-93,-89,-79
0,5,1,2021-08-01 23:46:37.620000,-82,-90,-79,-79
0,5,1,2021-08-01 23:46:37.620000,-255,-90,-79,-255
0,5,1,2021-08-01 23:46:37.620000,-85,-91,-79,-76
0,5,1,2021-08-01 23:46:37.620000,-255,-91,-78,-74
0,5,1,2021-08-01 23:46:37.620000,-255,-87,-84,-75
0,5,1,2021-08-01 23:46:37.620000,-255,-255,-80,-76
0,5,1,2021-08-01 23:46:37.620000,-255,-255,-84,-255
0,5,1,2021-08-01 23:47:37.620000,-83,-90,-255,-255
0,5,1,2021-08-01 23:47:37.620000,-82,-90,-255,-255
0,5,1,2021-08-01 23:47:37.620000,-80,-89,-255,-255
0,5,1,2021-08-01 23:47:37.620000,-82,-88,-255,-255
0,5,1,2021-08-01 23:47:37.620000,-85,-92,-255,-255
0,5,1,2021-08-01 23:47:37.620000,-83,-88,-255,-255
0,5,1,2021-08-01 23:47:37.620000,-85,-88,-255,-255
0,7,1,2021-08-01 23:49:37.620000,-82,-75,-80,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-80,-84,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-75,-79,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-255,-80,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-80,-78,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-80,-83,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-76,-83,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-255,-84,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-255,-84,-255
0,7,1,2021-08-01 23:49:37.620000,-255,-255,-84,-255
0,7,1,2021-08-01 23:50:37.620000,-83,-255,-255,-83
0,7,1,2021-08-01 23:50:37.620000,-89,-255,-255,-81
0,7,1,2021-08-01 23:50:37.620000,-82,-255,-255,-81
0,7,1,2021-08-01 23:50:37.620000,-77,-255,-255,-82
0,7,1,2021-08-01 23:50:37.620000,-255,-255,-255,-85
0,7,1,2021-08-01 23:50:37.620000,-255,-255,-255,-84
0,7,1,2021-08-01 23:50:37.620000,-84,-255,-255,-82
0,7,1,2021-08-01 23:50:37.620000,-84,-255,-255,-79
0,7,1,2021-08-01 23:50:37.620000,-80,-255,-255,-79
0,7,1,2021-08-01 23:50:37.620000,-88,-255,-255,-78
0,7,1,2021-08-01 23:50:37.620000,-83,-255,-255,-73
0,7,1,2021-08-01 23:50:37.620000,-79,-255,-255,-71
0,7,1,2021-08-01 23:51:37.620000,-78,-81,-255,-84
0,7,1,2021-08-01 23:51:37.620000,-87,-76,-255,-84
0,7,1,2021-08-01 23:51:37.620000,-79,-88,-255,-83
0,7,1,2021-08-01 23:51:37.620000,-255,-81,-255,-255
0,7,1,2021-08-01 23:51:37.620000,-255,-83,-255,-255
0,7,1,2021-08-01 23:51:37.620000,-80,-83,-84,-76
0,7,1,2021-08-01 23:51:37.620000,-83,-76,-255,-96
0,7,1,2021-08-01 23:51:37.620000,-81,-75,-255,-72
0,7,1,2021-08-01 23:51:37.620000,-82,-86,-255,-81
0,7,1,2021-08-01 23:51:37.620000,-83,-80,-255,-81
0,7,1,2021-08-01 23:51:37.620000,-255,-255,-255,-78
0,6,1,2021-08-01 23:52:37.620000,-82,-75,-83,-78
0,6,1,2021-08-01 23:52:37.620000,-82,-84,-84,-77
0,6,1,2021-08-01 23:52:37.620000,-85,-75,-78,-80
0,6,1,2021-08-01 23:52:37.620000,-83,-80,-79,-78
0,6,1,2021-08-01 23:52:37.620000,-83,-74,-81,-79
0,6,1,2021-08-01 23:52:37.620000,-88,-255,-255,-72
0,6,1,2021-08-01 23:52:37.620000,-83,-82,-81,-81
0,6,1,2021-08-01 23:52:37.620000,-78,-75,-84,-81
0,6,1,2021-08-01 23:52:37.620000,-82,-87,-80,-83
0,6,1,2021-08-01 23:52:37.620000,-88,-81,-85,-81
0,6,1,2021-08-01 23:52:37.620000,-81,-255,-80,-82
0,6,1,2021-08-01 23:52:37.620000,-255,-255,-85,-84
0,6,1,2021-08-01 23:52:37.620000,-255,-255,-255,-82
0,6,1,2021-08-01 23:52:37.620000,-255,-255,-255,-84
0,7,1,2021-08-01 23:53:37.620000,-87,-76,-82,-80
0,7,1,2021-08-01 23:53:37.620000,-81,-87,-79,-83
0,7,1,2021-08-01 23:53:37.620000,-80,-76,-80,-81
0,7,1,2021-08-01 23:53:37.620000,-77,-81,-81,-84
0,7,1,2021-08-01 23:53:37.620000,-255,-82,-255,-83
0,7,1,2021-08-01 23:53:37.620000,-83,-81,-85,-77
0,7,1,2021-08-01 23:53:37.620000,-82,-90,-83,-78
0,7,1,2021-08-01 23:53:37.620000,-83,-81,-84,-72
0,7,1,2021-08-01 23:53:37.620000,-80,-75,-87,-73
0,7,1,2021-08-01 23:53:37.620000,-81,-75,-86,-72
0,7,1,2021-08-01 23:53:37.620000,-255,-255,-255,-81
0,7,1,2021-08-01 23:54:37.620000,-255,-75,-85,-83
0,7,1,2021-08-01 23:54:37.620000,-255,-81,-80,-83
0,7,1,2021-08-01 23:54:37.620000,-255,-81,-84,-84
0,7,1,2021-08-01 23:54:37.620000,-255,-76,-79,-84
0,7,1,2021-08-01 23:54:37.620000,-255,-81,-80,-85
0,7,1,2021-08-01 23:54:37.620000,-255,-255,-84,-84
0,7,1,2021-08-01 23:54:37.620000,-255,-80,-84,-80
0,7,1,2021-08-01 23:54:37.620000,-255,-85,-79,-76
0,7,1,2021-08-01 23:54:37.620000,-255,-75,-83,-72
0,7,1,2021-08-01 23:54:37.620000,-255,-87,-83,-72
0,7,1,2021-08-01 23:54:37.620000,-255,-79,-83,-72
0,8,1,2021-08-01 23:56:37.620000,-78,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-77,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-71,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-78,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-71,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-76,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-72,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-73,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-76,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-75,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-76,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-81,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-75,-255,-255,-255
0,8,1,2021-08-01 23:56:37.620000,-75,-255,-255,-255
0,8,1,2021-08-01 23:57:37.620000,-70,-73,-85,-87
0,8,1,2021-08-01 23:57:37.620000,-77,-75,-90,-84
0,8,1,2021-08-01 23:57:37.620000,-78,-76,-255,-83
0,8,1,2021-08-01 23:57:37.620000,-77,-73,-255,-84
0,8,1,2021-08-01 23:57:37.620000,-70,-76,-255,-87
0,8,1,2021-08-01 23:57:37.620000,-75,-255,-255,-85
0,8,1,2021-08-01 23:57:37.620000,-75,-255,-255,-255
0,8,1,2021-08-01 23:57:37.620000,-77,-255,-255,-255
0,8,1,2021-08-01 23:57:37.620000,-81,-75,-88,-89
0,8,1,2021-08-01 23:57:37.620000,-74,-80,-94,-87
0,8,1,2021-08-01 23:57:37.620000,-81,-76,-86,-86
0,8,1,2021-08-01 23:57:37.620000,-76,-255,-255,-86
0,8,1,2021-08-01 23:57:37.620000,-82,-255,-255,-89
0,8,1,2021-08-01 23:57:37.620000,-255,-255,-255,-90
0,9,1,2021-08-01 23:58:37.620000,-81,-91,-94,-255
0,9,1,2021-08-01 23:58:37.620000,-74,-80,-95,-255
0,9,1,2021-08-01 23:58:37.620000,-75,-98,-96,-255
0,9,1,2021-08-01 23:58:37.620000,-82,-76,-87,-255
0,9,1,2021-08-01 23:58:37.620000,-76,-96,-87,-255
0,9,1,2021-08-01 23:58:37.620000,-73,-255,-88,-255
0,9,1,2021-08-01 23:58:37.620000,-78,-75,-86,-255
0,9,1,2021-08-01 23:58:37.620000,-71,-75,-255,-255
0,9,1,2021-08-01 23:58:37.620000,-77,-75,-255,-255
0,9,1,2021-08-01 23:58:37.620000,-70,-73,-255,-255
0,9,1,2021-08-01 23:58:37.620000,-255,-76,-255,-255
